time,force,tip,base
0.0,0.0,1e-11,1e-11
0.0005,5.540948737785462e-11,-9.6222103993878e-10,-9.899999999992205e-10
0.001,8.697048512166401e-11,-1.9464306392718745e-09,-1.989999999998776e-09
0.0015,1.1465554272650299e-10,-2.93258844398973e-09,-2.9900000000073547e-09
0.002,1.410840819156348e-10,-3.919374183232958e-09,-3.990000000010459e-09
0.0025,1.6711923466610722e-10,-4.906356603063993e-09,-4.989999999998358e-09
0.003,1.9314843173698397e-10,-5.893342011129132e-09,-5.9899999999862574e-09
0.0035,2.1937309006620363e-10,-6.880229694089336e-09,-6.9899999999741565e-09
0.004,2.459069582504798e-10,-7.866962775369724e-09,-7.989999999962056e-09
0.0045000000000000005,2.7281740169910424e-10,-8.853507570984355e-09,-8.989999999949955e-09
0.005,3.0014524149980556e-10,-9.839843669618884e-09,-9.989999999937854e-09
0.0055000000000000005,3.2791522988688754e-10,-1.0825958694674683e-08,-1.0989999999925753e-08
0.006,3.561419810508314e-10,-1.181184533874414e-08,-1.1989999999913652e-08
0.006500000000000001,3.848335137173853e-10,-1.2797499592258601e-08,-1.2989999999901551e-08
0.007,4.1399345847497585e-10,-1.3782919639784296e-08,-1.398999999988945e-08
0.007500000000000001,4.4362248056265994e-10,-1.4768105148606781e-08,-1.498999999987735e-08
0.008,4.737192225601857e-10,-1.5753056797371422e-08,-1.598999999986525e-08
0.0085,5.042809431823961e-10,-1.673777595667637e-08,-1.6989999999853148e-08
0.009000000000000001,5.353039581584816e-10,-1.7722264468627175e-08,-1.7989999999841047e-08
0.0095,5.667839490589744e-10,-1.8706524492418588e-08,-1.8989999999828946e-08
0.01,5.987161821766647e-10,-1.9690558394891705e-08,-1.9989999999816845e-08
0.0105,6.310956650408488e-10,-2.0674368672274776e-08,-2.0989999999804744e-08
0.011000000000000001,6.639172590226099e-10,-2.1657957893878426e-08,-2.1989999999792643e-08
0.0115,6.971757606204163e-10,-2.264132866145283e-08,-2.2989999999780542e-08
0.012,7.308659601483487e-10,-2.3624483579841723e-08,-2.398999999976844e-08
0.0125,7.649826839723397e-10,-2.460742523586513e-08,-2.498999999975634e-08
0.013000000000000001,7.995208246642566e-10,-2.559015618324004e-08,-2.598999999974424e-08
0.0135,8.344753622384478e-10,-2.6572678931963914e-08,-2.6989999999732138e-08
0.014,8.698413787614424e-10,-2.755499594100793e-08,-2.7989999999720037e-08
0.0145,9.056140680325907e-10,-2.8537109613477394e-08,-2.8989999999707936e-08
0.015000000000000001,9.41788741584707e-10,-2.951902229361103e-08,-2.9989999999695835e-08
0.0155,9.783608319410847e-10,-3.0500736265152274e-08,-3.0989999999683734e-08
0.016,1.0153258938319189e-09,-3.148225375074171e-08,-3.198999999967163e-08
0.0165,1.0526796038962393e-09,-3.2463576912064215e-08,-3.298999999965953e-08
0.017,1.0904177592780099e-09,-3.344470785055282e-08,-3.398999999964743e-08
0.0175,1.1285362754162015e-09,-3.442564860849452e-08,-3.498999999963533e-08
0.018000000000000002,1.1670311832551496e-09,-3.5406401170420096e-08,-3.598999999962323e-08
0.0185,1.2058986260735155e-09,-3.638696746469565e-08,-3.698999999961113e-08
0.019,1.2451348560414996e-09,-3.736734936524037e-08,-3.798999999959903e-08
0.0195,1.2847362306274326e-09,-3.8347548693324746e-08,-3.8989999999586926e-08
0.02,1.324699208923503e-09,-3.932756721940704e-08,-3.9989999999574825e-08
0.0205,1.365020347951358e-09,-4.030740666498004e-08,-4.0989999999562724e-08
0.021,1.4056962989950859e-09,-4.128706870440556e-08,-4.1989999999550623e-08
0.021500000000000002,1.4467238039898415e-09,-4.226655496672017e-08,-4.298999999953852e-08
0.022000000000000002,1.4880996919904287e-09,-4.32458670373994e-08,-4.398999999952642e-08
0.0225,1.5298208757434216e-09,-4.4225006460074226e-08,-4.498999999951432e-08
0.023,1.5718843483627406e-09,-4.5203974738190673e-08,-4.598999999950222e-08
0.0235,1.6142871801282619e-09,-4.618277333661176e-08,-4.698999999949012e-08
0.024,1.6570265154054474e-09,-4.716140368315803e-08,-4.798999999947802e-08
0.0245,1.7000995696882361e-09,-4.813986717008562e-08,-4.8989999999465917e-08
0.025,1.7435036267662589e-09,-4.911816515550223e-08,-4.9989999999453816e-08
0.025500000000000002,1.7872360360166682e-09,-5.0096298964721905e-08,-5.0989999999441715e-08
0.026000000000000002,1.8312942098165015e-09,-5.107426989155918e-08,-5.1989999999429614e-08
0.0265,1.8756756210695427e-09,-5.205207919956382e-08,-5.298999999941751e-08
0.027,1.9203778008544284e-09,-5.3029728123200034e-08,-5.398999999940541e-08
0.0275,1.9653983361727436e-09,-5.400721786896847e-08,-5.498999999939331e-08
0.028,2.010734867812233e-09,-5.498454961647716e-08,-5.598999999938121e-08
0.0285,2.0563850883099377e-09,-5.5961724519461636e-08,-5.698999999936911e-08
0.029,2.1023467400019884e-09,-5.693874370675393e-08,-5.798999999935701e-08
0.029500000000000002,2.1486176131830467e-09,-5.7915608283209206e-08,-5.898999999934491e-08
0.030000000000000002,2.195195544445094e-09,-5.889231933066142e-08,-5.99899999994603e-08
0.0305,2.2420784146429643e-09,-5.986887790876124e-08,-6.098999999977908e-08
0.031,2.289264147709539e-09,-6.084528505533751e-08,-6.199000000009785e-08
0.0315,2.3367507090093535e-09,-6.182154178771353e-08,-6.299000000041662e-08
0.032,2.3845361038148545e-09,-6.279764910325234e-08,-6.399000000073539e-08
